,"Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025","Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025","Alcohol, total  (recorded + unrecorded) per capita (15+) consumption with 95%CI, projections to 2025"
"Country","2025","2020","2015"
"Afghanistan","1.3 [0.1-21.5]","1.2 [0.1-20.4]","1.0 [0.1-16.1]"
"Albania","7.2 [5.0-9.6]","6.9 [4.7-9.1]","6.6 [4.7-8.7]"
"Algeria","0.6 [0.3-1.2]","0.6 [0.3-1.3]","0.6 [0.3-1.3]"
"Andorra","5.0 [4.7-5.3]","6.7 [6.3-7.1]","9.1 [8.5-9.7]"
"Angola","7.4 [3.8-11.5]","7.5 [4.1-11.3]","7.6 [4.7-10.3]"
"Antigua and Barbuda","3.5 [0.5-8.2]","3.3 [0.0-7.7]","3.2 [0.1-7.0]"
"Argentina","5.8 [4.4-7.7]","6.6 [5.2-8.5]","7.6 [6.1-9.4]"
"Armenia","6.1 [4.5-7.6]","5.8 [4.4-7.2]","5.5 [4.1-7.0]"
"Australia","13.5 [10.2-17.2]","13.2 [10-16.8]","12.6 [10.5-14.8]"
"Austria","8.8 [5.6-13.2]","8.7 [5.7-12.4]","8.5 [6.5-11.2]"
"Azerbaijan","2.1 [1.2-2.9]","2.1 [1.2-2.9]","2.1 [1.2-3.0]"
"Bahamas","4.0 [0.4-9.0]","4.1 [0.0-8.8]","4.2 [0.8-8.9]"
"Bahrain","2.9 [0.0-8.6]","2.7 [0.0-8.2]","2.4 [0.0-7.7]"
"Bangladesh","0.2 [0.0-1.9]","0.2 [0.0-2.9]","0.2 [0.0-2.2]"
"Barbados","6.6 [3.9-10.2]","6.5 [3.6-10.4]","6.5 [3.7-10.3]"
"Belarus","16.9 [11.4-22.7]","16.8 [11.2-23.8]","17.1 [12.1-22.5]"
"Belgium","9.9 [9.2-10.6]","10.3 [9.6-11.0]","10.8 [10.1-11.5]"
"Belize","8.6 [6.0-11.2]","8.5 [6.1-11.1]","8.3 [5.9-10.7]"
"Benin","2.3 [0.8-3.9]","2.3 [0.8-3.8]","2.2 [0.8-3.6]"
"Bhutan","1.4 [0.6-4.2]","1.3 [0.6-3.6]","1.1 [0.5-3.1]"
